CASE,QUESTNNR,MODE,STARTED,AT01_01,AT01_02,AT01_03,AT01_04,B001_01,B001_02,B001_03,B001_04,B001_05,B001_06,B001_07,B001_08,B001_09,B001_10,CS01_01,CS01_02,CS01_03,IN01_01,IN01_02,IN01_03,PB01_01,PB01_02,SN01_01,SN01_02,SN01_03,SW01_01,SW01_02,SW01_03,SW01_04,SW01_05,SW01_06,SW01_07,SW01_08,WD01,WD02,WD02_01,WD02_02,WD02_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME_SUM,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,Group,count_nas,count_minus_ones,AT01_02_inverse,B001_03_inverse,B001_04_inverse,B001_08_inverse,B001_09_inverse,SW01_03_inverse,SW01_05_inverse
20,base,1,2024-05-13 08:53:34,3,0,3,2,1,2,-100,3,2,2,1,0,2,2,2,2,2,2,2,1,3,3,2,1,2,2,2,-100,2,2,2,2,2,5,0,0,0,0,42,40,43,14,20,34,137,128,33,491,2024-05-13 09:01:45,0,FALSE,9,9,0,0,0.72,group0,0,1,3,-100,0,3,1,-100,1
23,base,1,2024-05-13 08:53:59,-100,2,-100,-100,1,2,1,2,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,-100,2,1,2,1,2,1,2,2,5,0,0,0,0,54,46,63,41,5,7,8,12,0,196,2024-05-13 08:57:56,0,FALSE,9,9,0,0,1.86,group0,0,3,1,2,1,2,1,1,1
24,base,1,2024-05-13 08:54:54,2,1,3,1,0,0,0,0,0,1,2,2,2,-100,0,0,0,0,1,1,1,0,1,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,3,14,49,20,11,60,97,61,28,306,2024-05-13 09:00:38,0,FALSE,9,9,0,0,1.17,group0,0,0,2,3,3,1,1,1,1
25,base,1,2024-05-13 08:54:59,3,0,3,2,1,2,1,2,1,3,1,0,1,2,2,2,2,2,2,2,2,2,2,2,-100,2,2,1,2,1,-100,-100,2,5,0,0,0,0,119,52,163,53,12,18,84,72,29,322,2024-05-13 09:05:01,0,FALSE,9,9,0,0,0.67,group0,0,2,3,2,1,3,2,2,2
26,base,1,2024-05-13 08:55:19,2,1,2,2,0,-100,1,0,-100,1,0,2,1,0,0,2,2,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,2,5,0,0,0,0,16,11,52,15,11,29,141,110,17,402,2024-05-13 09:02:01,0,FALSE,9,9,0,0,0.99,group1,0,1,2,2,3,1,2,2,1
27,base,1,2024-05-13 08:55:37,1,2,1,2,0,3,1,3,2,2,2,0,0,1,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,2,1,5,0,0,0,0,24,17,42,26,78,19,157,102,58,336,2024-05-13 09:04:20,0,FALSE,9,9,0,0,0.71,group0,0,0,1,2,0,3,3,2,2
28,base,1,2024-05-13 08:58:15,2,1,-100,-100,1,2,2,2,-100,3,1,3,1,-100,2,2,1,0,1,1,0,2,1,1,0,1,1,2,1,1,1,1,1,5,0,0,0,0,8,48,54,43,24,27,54,79,23,360,2024-05-13 09:04:15,0,FALSE,9,9,0,0,0.88,group0,0,3,2,1,1,0,2,1,2
29,base,1,2024-05-13 18:14:25,3,1,3,2,1,2,1,2,0,3,3,0,0,-100,2,-100,-100,1,3,2,1,1,3,2,0,-100,1,0,1,1,0,1,2,5,0,0,0,0,9,5,34,18,13,15,46,59,22,221,2024-05-13 18:18:06,0,FALSE,9,9,0,0,1.49,group0,0,3,2,2,1,3,3,3,2
30,base,1,2024-05-14 08:00:55,3,0,3,3,3,-100,3,1,-100,3,0,3,0,3,2,3,2,2,3,3,2,3,2,1,0,3,1,1,1,2,3,3,3,5,1,0,0,0,2,19,27,43,16,15,77,77,25,302,2024-05-14 08:05:57,0,FALSE,9,9,0,0,1.26,group2,0,1,3,0,2,0,3,2,1
31,base,1,2024-05-14 09:54:51,2,0,2,-100,2,3,3,3,-100,2,1,0,0,-100,1,-100,2,1,2,-100,2,2,2,0,0,2,-100,1,1,1,2,1,-100,5,0,0,0,0,31,11,78,14,11,27,60,98,14,344,2024-05-14 10:00:35,0,FALSE,9,9,0,0,1.03,group0,0,7,3,0,0,3,3,2,2
32,base,1,2024-05-14 09:54:53,3,1,3,2,1,2,1,3,-100,3,0,0,1,0,2,1,1,0,2,0,2,3,1,2,0,2,0,1,1,1,0,0,2,5,0,0,0,0,6,10,29,17,14,20,66,55,24,241,2024-05-14 09:58:54,0,FALSE,9,9,0,0,1.35,group0,0,0,2,2,0,3,2,2,2
33,base,1,2024-05-14 09:54:53,2,1,2,1,-100,-100,1,2,0,2,2,2,2,-100,2,-100,2,-100,-100,1,2,2,1,1,2,2,2,1,2,-100,-100,2,2,5,0,0,0,0,10,9,41,17,14,28,47,48,14,228,2024-05-14 09:58:41,0,FALSE,9,9,0,0,1.3,group0,0,8,2,2,1,1,1,2,-100
34,base,1,2024-05-14 09:54:55,3,1,3,1,0,1,0,2,0,1,0,0,2,0,2,2,2,1,1,0,2,2,0,0,0,3,2,2,3,1,2,2,2,5,0,0,0,0,49,16,68,33,18,27,91,59,15,376,2024-05-14 10:01:11,0,FALSE,9,9,0,0,0.83,group0,0,0,2,3,1,3,1,1,2
35,base,1,2024-05-14 09:54:55,2,0,2,0,0,0,0,2,1,2,1,1,1,1,0,0,0,0,1,0,2,2,0,0,3,0,0,3,0,3,0,1,0,5,0,0,0,0,33,24,77,20,11,20,66,93,22,366,2024-05-14 10:01:01,0,FALSE,9,9,0,0,0.87,group0,0,0,3,3,1,2,2,0,0
36,base,1,2024-05-14 09:54:55,3,0,3,3,1,3,2,2,0,2,2,1,0,1,2,2,2,0,2,1,3,3,1,1,2,3,2,0,2,1,1,1,2,5,0,0,0,0,10,9,26,16,9,19,63,51,14,217,2024-05-14 09:58:32,0,FALSE,9,9,0,0,1.45,group0,0,0,3,1,1,2,3,3,2
37,base,1,2024-05-14 09:54:56,3,0,3,2,0,0,2,3,-100,3,3,0,0,0,2,2,-100,1,2,1,-100,2,1,0,0,3,-100,-100,-100,2,1,2,-100,5,0,0,0,0,10,27,65,20,19,29,107,113,27,417,2024-05-14 10:01:53,0,FALSE,9,9,0,0,0.8,group0,0,7,3,1,0,3,3,-100,1
38,base,1,2024-05-14 09:54:56,3,0,3,2,0,2,1,2,1,2,1,1,0,2,3,2,2,1,2,1,2,3,1,1,1,3,1,0,1,0,2,2,3,5,0,0,0,0,7,16,67,20,18,27,86,118,16,375,2024-05-14 10:01:11,0,FALSE,9,9,0,0,0.98,group1,0,0,3,2,1,2,3,3,3
40,base,1,2024-05-14 09:54:56,1,1,2,0,0,1,1,3,0,2,2,1,2,-100,2,1,2,1,0,0,2,2,0,0,1,3,2,1,2,1,0,2,2,5,0,0,0,0,2,16,54,20,20,43,69,109,30,364,2024-05-14 10:01:01,0,FALSE,9,9,0,0,1.06,group0,0,0,2,2,0,2,1,2,2
41,base,1,2024-05-14 09:54:57,2,1,1,1,3,2,0,1,-100,3,2,0,1,-100,2,2,2,1,2,1,2,3,1,1,-100,2,1,1,2,1,1,2,1,5,0,0,0,0,31,27,74,21,13,32,75,64,27,364,2024-05-14 10:01:02,0,FALSE,9,9,0,0,0.81,group0,0,2,2,3,2,3,2,2,2
42,base,1,2024-05-14 09:54:57,1,1,1,1,3,2,3,3,-100,2,3,3,1,-100,2,1,2,1,3,2,2,0,0,2,1,2,2,1,2,1,2,2,-100,5,0,0,0,0,32,13,66,13,11,20,65,46,10,276,2024-05-14 09:59:33,0,FALSE,9,9,0,0,1.21,group0,0,2,2,0,0,0,2,2,2
43,base,1,2024-05-14 09:54:58,1,1,2,1,0,2,1,1,0,2,1,3,0,-100,-100,-100,-100,0,1,0,1,1,1,1,1,2,1,2,1,2,1,1,0,5,0,0,0,0,6,46,45,27,11,16,77,155,8,391,2024-05-14 10:01:29,0,FALSE,9,9,0,0,1.2,group0,0,3,2,2,2,0,3,1,1
45,base,1,2024-05-14 09:55:00,2,0,2,2,3,1,1,2,-100,2,1,1,0,-100,0,0,0,-100,2,2,-100,0,1,0,0,0,0,1,1,3,0,0,0,5,0,0,0,0,13,14,38,11,12,14,34,34,9,179,2024-05-14 09:57:59,0,FALSE,9,9,0,0,1.61,group0,0,3,3,2,1,2,3,2,0
46,base,1,2024-05-14 09:55:01,2,1,3,0,0,1,0,2,1,2,0,2,1,0,2,2,2,1,1,1,3,2,0,1,1,2,1,1,1,1,1,2,1,5,0,0,0,0,10,10,70,32,23,30,98,105,13,391,2024-05-14 10:01:32,0,FALSE,9,9,0,0,0.94,group0,0,0,2,3,1,1,2,2,2
48,base,1,2024-05-14 09:55:02,1,0,3,3,3,2,1,2,2,3,3,0,0,3,3,2,3,2,3,2,3,3,2,1,-100,3,3,0,3,0,2,2,3,5,0,0,0,0,62,22,67,27,27,21,121,92,52,408,2024-05-14 10:03:13,0,FALSE,9,9,0,0,0.64,group0,0,0,3,2,1,3,3,3,3
49,base,1,2024-05-14 09:55:02,2,0,2,2,3,2,1,-100,-100,2,2,2,2,-100,2,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,2,5,0,0,0,0,37,29,65,38,17,25,104,81,22,418,2024-05-14 10:02:00,0,FALSE,9,9,0,0,0.71,group0,0,2,3,2,-100,1,1,2,2
50,base,1,2024-05-14 09:55:02,2,0,3,3,3,2,1,2,-100,3,2,1,0,-100,3,2,2,2,3,2,2,2,2,1,1,2,2,0,2,2,1,2,2,5,0,0,0,0,14,19,48,20,14,17,84,65,45,326,2024-05-14 10:00:28,0,FALSE,9,9,0,0,0.96,group0,0,1,3,2,1,2,3,3,1
51,base,1,2024-05-14 09:55:03,2,0,3,2,0,1,1,3,0,2,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,3,2,1,2,1,1,2,2,5,0,0,0,0,33,33,43,42,32,32,108,83,31,437,2024-05-14 10:02:20,0,FALSE,9,9,0,0,0.66,group0,0,0,3,2,0,1,2,2,2
52,base,1,2024-05-14 09:55:05,3,0,2,1,0,0,0,0,0,0,0,3,1,2,1,2,1,0,1,0,0,0,2,0,1,0,0,3,0,3,1,2,2,5,0,0,0,0,23,10,48,18,32,20,73,74,31,329,2024-05-14 10:00:34,0,FALSE,9,9,0,0,0.94,group0,0,0,3,3,3,0,2,0,0
54,base,1,2024-05-14 09:55:18,1,3,1,2,0,2,0,1,0,3,2,3,2,1,-100,-100,-100,1,2,1,2,1,1,1,0,1,1,1,1,2,1,1,1,0,0,0,0,0,8,12,51,20,21,24,76,101,2,316,2024-05-14 10:00:34,0,FALSE,9,9,0,0,1.25,group0,0,2,0,3,2,0,1,2,1
55,base,1,2024-05-14 09:55:19,2,0,2,1,0,0,2,0,0,3,0,0,0,1,2,2,2,1,3,1,1,2,1,0,0,3,0,2,0,1,1,1,1,5,0,0,0,0,3,9,83,25,17,57,60,115,11,346,2024-05-14 10:01:40,0,FALSE,9,9,0,0,1.21,group0,0,0,3,1,3,3,3,1,2
56,base,1,2024-05-14 09:55:24,2,1,2,1,1,2,1,1,-100,2,1,2,2,1,2,2,2,1,-100,-100,1,1,1,1,1,2,1,2,2,1,1,1,1,5,0,0,0,0,13,16,36,19,14,23,74,51,25,271,2024-05-14 09:59:55,0,FALSE,9,9,0,0,1.08,group0,0,2,2,2,2,1,1,1,2
57,base,1,2024-05-14 09:55:46,3,1,3,2,3,3,2,2,-100,3,3,0,0,-100,2,2,1,2,3,2,2,2,2,1,1,2,2,1,1,1,2,2,2,5,0,0,0,0,15,15,56,19,21,25,68,83,18,320,2024-05-14 10:01:07,0,FALSE,9,9,0,0,0.94,group0,0,1,2,1,1,3,3,2,2
60,base,1,2024-05-16 10:51:15,2,0,2,3,3,2,1,2,1,3,3,0,0,-100,3,3,3,3,3,3,2,2,2,2,0,3,3,0,3,3,3,3,3,6,0,0,0,0,36,9,16,12,7,13,36,29,9,167,2024-05-16 10:54:02,0,FALSE,9,9,0,0,1.88,group2,0,0,3,2,1,3,3,3,0
