Time_Point,Group,Category,MeanValue
t1,group0,TPB_Mean,1.6333333333333335
t1,group0,AT_Mean,2
t1,group0,SN_Mean,1
t1,group0,INT_Mean,1.6666666666666667
t1,group0,PBC_Mean,2.5
t1,group0,B_Mean,1
t1,group0,TPB_Mean,1.8166666666666664
t1,group0,AT_Mean,1.75
t1,group0,SN_Mean,2.6666666666666665
t1,group0,INT_Mean,1.3333333333333333
t1,group0,PBC_Mean,2
t1,group0,B_Mean,1.3333333333333333
t1,group0,TPB_Mean,1.461111111111111
t1,group0,AT_Mean,2.25
t1,group0,SN_Mean,1
t1,group0,INT_Mean,0.6666666666666666
t1,group0,PBC_Mean,2.5
t1,group0,B_Mean,0.8888888888888888
t1,group0,TPB_Mean,1.7666666666666668
t1,group0,AT_Mean,2.5
t1,group0,SN_Mean,1
t1,group0,INT_Mean,2
t1,group0,PBC_Mean,2
t1,group0,B_Mean,1.3333333333333333
t1,group0,TPB_Mean,2.7
t1,group0,AT_Mean,3
t1,group0,SN_Mean,2.3333333333333335
t1,group0,INT_Mean,2.6666666666666665
t1,group0,PBC_Mean,3
t1,group0,B_Mean,2.5
t1,group0,TPB_Mean,1.288888888888889
t1,group0,AT_Mean,2.5
t1,group0,SN_Mean,0
t1,group0,INT_Mean,1.3333333333333333
t1,group0,PBC_Mean,1.5
t1,group0,B_Mean,1.1111111111111112
t1,group0,TPB_Mean,1.3916666666666666
t1,group0,AT_Mean,1.75
t1,group0,SN_Mean,1
t1,group0,INT_Mean,1.3333333333333333
t1,group0,PBC_Mean,1.5
t1,group0,B_Mean,1.375
t1,group0,TPB_Mean,1.4166666666666667
t1,group0,AT_Mean,1.75
t1,group0,SN_Mean,1.6666666666666667
t1,group0,INT_Mean,1
t1,group0,PBC_Mean,2
t1,group0,B_Mean,0.6666666666666666
t1,group0,TPB_Mean,1.6833333333333336
t1,group0,AT_Mean,1.75
t1,group0,SN_Mean,1
t1,group0,INT_Mean,1.6666666666666667
t1,group0,PBC_Mean,2
t1,group0,B_Mean,2
t1,group0,TPB_Mean,1.0944444444444446
t1,group0,AT_Mean,1.25
t1,group0,SN_Mean,0.5
t1,group0,INT_Mean,1.6666666666666667
t1,group0,PBC_Mean,0.5
t1,group0,B_Mean,1.5555555555555556
t1,group0,TPB_Mean,1.7166666666666663
t1,group0,AT_Mean,2
t1,group0,SN_Mean,1.5
t1,group0,INT_Mean,1.3333333333333333
t1,group0,PBC_Mean,2
t1,group0,B_Mean,1.75
t1,group0,TPB_Mean,1.5944444444444443
t1,group0,AT_Mean,2.75
t1,group0,SN_Mean,1
t1,group0,INT_Mean,1.3333333333333333
t1,group0,PBC_Mean,2
t1,group0,B_Mean,0.8888888888888888
