id,datestamp,L,KL,GymReal,MBGs,KRS,Gruppe,TPB_Mean,MITTELWERT,AT_Mean,AT1,AT2_invert,AT3,AT4,SN_Mean,SN1,SN2,SN3,INT_Mean,INT1,INT2,INT3,PBC_Mean,PBC1,PBC2,B_Mean,B1,B2,B4_invert,B5,B6,B7,B8_invert,B9_invert,B10,PROB1_codiert,PROB2_codiert,PROB3_codiert,PROB4_codiert,PROB5_codiert,PROB6_codiert,PROB7_codiert,AT2,B3,B4,B8,B9,interviewtime,Zeit,Zeit_min,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,filter_$,ü25,PrePost,B3_invert
185,2023-05-10T10:03:04Z,0,9,2,0,0,0,1.122222222,1.227272727,1,0,2,1,1,0.666666667,0,1,1,1,1,1,1,1.5,2,1,1.444444444,2,2,2,1,1,1,1,0,3,1,3,5,4,6,2,7,1,1,1,2,3,NA,NA,NA,PRB1,PRB3,PRB5,PRB4,PRB6,PRB2,PRB7,0,0,1,2
207,2023-05-17T15:37:11Z,0,11,1,0,1,2,2.138888889,NA,2.25,2,3,2,2,1,2,1,0,2.333333333,2,3,2,3,3,3,2.111111111,0,2,2,2,2,3,3,3,2,4,1,2,3,6,7,5,NA,NA,NA,NA,NA,11:04:04,NA,NA,PRB4,PRB1,PRB2,PRB3,PRB6,PRB7,PRB5,0,0,1,0
208,2023-05-17T21:05:07Z,0,7,1,0,0,0,2.211904762,NA,2.75,3,3,3,2,1.333333333,2,0,2,2.333333333,2,3,2,2.5,2,3,2.142857143,3,2,0,NA,3,1,3,3,NA,2,4,3,6,5,7,1,NA,NA,NA,NA,NA,12:14:36,NA,NA,PRB2,PRB4,PRB3,PRB6,PRB5,PRB7,PRB1,0,2,0,1
209,2023-05-18T10:59:47Z,0,7,2,1,0,0,2.2,NA,2.5,2,3,3,2,1.666666667,2,1,2,2,2,2,2,2.5,2,3,2.333333333,3,3,1,2,3,3,2,2,2,4,2,5,6,7,3,1,NA,NA,NA,NA,NA,05:22:19,NA,NA,PRB4,PRB2,PRB5,PRB6,PRB7,PRB3,PRB1,0,0,1,1
210,2023-05-18T21:13:37Z,0,7,1,0,0,0,2.246666667,NA,2.5,2,3,3,2,1,1,0,2,2.333333333,2,3,2,3,3,3,2.4,3,NA,NA,NA,3,3,0,3,NA,4,6,5,2,3,1,7,NA,NA,NA,NA,NA,07:57:43,NA,NA,PRB4,PRB6,PRB5,PRB2,PRB3,PRB1,PRB7,0,4,0,2
188,2023-05-15T14:07:54Z,0,9,1,1,1,2,2.711111111,2.636363636,3,3,3,3,3,2.333333333,3,1,3,2.666666667,3,3,2,3,3,3,2.555555556,3,2,1,2,3,3,3,3,3,4,2,1,6,7,3,5,0,1,2,0,0,03:05:16,185.2666667,3.087777778,PRB4,PRB2,PRB1,PRB6,PRB7,PRB3,PRB5,0,0,1,2
196,2023-05-16T07:07:39Z,0,8,1,1,0,1,1.522222222,1.666666667,1.666666667,NA,2,2,1,1.333333333,1,1,2,1.333333333,2,1,1,1.5,2,1,1.777777778,1,2,2,2,1,1,3,3,1,2,1,4,6,5,3,7,1,0,1,0,0,03:48:36,228.6,3.81,PRB2,PRB1,PRB4,PRB6,PRB5,PRB3,PRB7,1,1,1,3
203,2023-05-16T11:33:00Z,0,9,1,1,1,2,2.45,2.5,2.75,2,3,3,3,1,2,1,0,3,3,3,3,2.5,2,3,3,3,3,3,3,3,3,3,3,3,2,4,5,3,6,7,1,0,3,0,0,0,04:32:15,272.25,4.5375,PRB2,PRB4,PRB5,PRB3,PRB6,PRB7,PRB1,0,0,1,0
108,2023-05-10T08:16:18Z,0,10,1,1,1,2,2.458333333,2.428571429,2.5,2,3,2,3,1.666666667,3,1,1,3,3,3,3,2.5,2,3,2.625,3,2,2,2,3,3,3,3,NA,6,4,3,2,7,5,1,0,2,1,0,0,04:33:33,273.55,4.559166667,PRB6,PRB4,PRB3,PRB2,PRB7,PRB5,PRB1,0,1,1,1
112,2023-05-10T08:16:37Z,0,10,1,1,1,2,2.622222222,2.454545455,3,3,3,3,3,1.666666667,3,2,0,3,3,3,3,3,3,3,2.444444444,3,3,0,2,3,2,3,3,3,4,3,2,6,5,1,7,0,3,3,0,0,04:33:34,273.5666667,4.559444444,PRB4,PRB3,PRB2,PRB6,PRB5,PRB1,PRB7,0,0,1,0
