id,submitdate,KL_codiert,MBGs,KRS,Gruppe,TPB_Mean,AT_Mean,AT1,AT2_invert,AT3,AT4,SN_Mean,SN1,SN2,SN3,INT_Mean,INT1,INT2,INT3,PBC_Mean,PBC1,PBC2,B_Mean,B1,B2,B5,B6,B7,B8_invert,B9_invert,B10,interviewtime,Zeit,Zeit_min,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,KL,fehlend,AT2,B3,B4,B8,B9,B3_invert,B4_invert,filter_$
27,2023-05-08T07:53:56Z,9,0,1,2,1.4214285714285715,1.75,1,2,2,2,0,0,0,0,2,NA,3,1,1.5,2,1,1.8571428571428572,1,1,1,3,2,3,2,NA,08:10:27,490.45,8.174166666666666,PRB1,PRB6,PRB7,PRB3,PRB2,PRB4,PRB5,A5,3,1,NA,3,0,1,NA,0,1
94,2023-05-09T11:09:38Z,10,0,1,2,1.425,1.75,2,3,2,0,1.3333333333333333,1,1,2,0.6666666666666666,1,1,0,1.5,1,2,1.875,1,2,2,3,2,3,1,1,08:18:43,498.71666666666664,8.311944444444444,PRB2,PRB4,PRB3,PRB1,PRB7,PRB5,PRB6,A6,0,0,3,2,0,2,0,1,1
90,2023-05-09T11:11:27Z,7,0,1,2,1.5833333333333335,2.75,2,3,3,3,0.3333333333333333,1,0,0,1.3333333333333333,1,2,1,1.5,1,2,2,2,NA,NA,3,1,2,2,NA,11:43:17,703.2833333333333,11.721388888888889,PRB2,PRB5,PRB6,PRB4,PRB3,PRB7,PRB1,A3,6,0,NA,NA,1,1,NA,NA,0
62,2023-05-09T10:04:01Z,10,0,1,2,1.6,2.5,3,3,3,1,0,0,0,0,2,2,3,1,1.5,1,2,2,2,2,1,3,2,2,2,NA,09:15:31,555.5166666666667,9.258611111111112,PRB2,PRB5,PRB4,PRB7,PRB6,PRB3,PRB1,A6,1,0,1,2,1,1,2,1,1
30,2023-05-09T09:21:15Z,10,1,1,2,1.6023809523809522,1.75,2,2,2,1,1.3333333333333333,2,1,1,1.5,NA,2,1,2,2,2,1.4285714285714286,0,2,NA,2,2,2,1,1,06:21:08,381.1333333333333,6.352222222222222,PRB6,PRB4,PRB1,PRB2,PRB5,PRB7,PRB3,A6,3,1,NA,2,1,2,NA,1,1
47,2023-05-09T09:37:47Z,5,1,1,2,1.6333333333333333,2.5,3,3,3,1,0,0,0,NA,2.5,2,3,NA,2,2,2,1.1666666666666667,0,2,NA,2,0,2,1,NA,12:24:39,744.65,12.410833333333333,PRB4,PRB6,PRB5,PRB1,PRB2,PRB7,PRB3,A1,6,0,0,3,1,2,3,0,0
73,2023-05-09T10:03:29Z,10,1,1,2,1.8333333333333335,2.75,3,3,3,2,1.6666666666666667,2,1,2,1,0,2,1,2,2,2,1.75,3,2,0,3,0,3,3,0,07:44:27,464.45,7.740833333333333,PRB1,PRB5,PRB4,PRB2,PRB7,PRB3,PRB6,A6,0,0,2,3,0,0,1,0,1
96,2023-05-09T11:23:01Z,7,0,1,2,1.875,2.25,2,2,2,3,1.6666666666666667,2,1,2,1.3333333333333333,1,2,1,2,2,2,2.125,2,2,1,3,2,2,3,2,10:48:06,648.1,10.801666666666668,PRB4,PRB6,PRB2,PRB1,PRB5,PRB7,PRB3,A3,0,1,1,1,1,0,2,2,0
28,2023-05-09T09:25:04Z,10,1,1,2,1.9833333333333336,2.75,3,3,3,2,1.6666666666666667,2,1,2,3,3,3,3,1,1,1,1.5,0,1,1,3,1,3,2,1,10:35:22,635.3666666666667,10.589444444444444,PRB2,PRB1,PRB6,PRB4,PRB5,PRB7,PRB3,A6,0,0,0,1,0,1,3,2,1
72,2023-05-09T10:04:33Z,10,0,1,2,1.9916666666666665,2.5,2,3,3,2,1.3333333333333333,2,1,1,2,2,2,2,2,2,2,2.125,1,2,2,3,1,2,3,3,09:05:18,545.3,9.088333333333333,PRB2,PRB4,PRB6,PRB3,PRB1,PRB5,PRB7,A6,0,0,1,2,1,0,2,1,1
33,2023-05-09T09:27:21Z,7,1,1,2,2.05,2.5,2,3,3,2,0.6666666666666666,1,1,0,2.3333333333333335,1,3,3,2.5,2,3,2.25,1,2,3,3,2,2,3,2,06:48:13,408.21666666666664,6.803611111111111,PRB4,PRB1,PRB3,PRB5,PRB2,PRB6,PRB7,A3,0,0,3,3,1,0,0,0,0
74,2023-05-09T10:04:00Z,10,0,1,2,2.0523809523809526,2.5,2,3,3,2,2,3,2,1,2.3333333333333335,2,3,2,2,1,3,1.4285714285714286,0,3,0,2,0,3,2,NA,06:04:03,364.05,6.0675,PRB6,PRB4,PRB1,PRB2,PRB3,PRB5,PRB7,A6,1,0,2,2,0,1,1,1,1
95,2023-05-09T11:21:53Z,7,0,1,2,2.1238095238095243,2.5,2,3,3,2,1,2,0,1,2.3333333333333335,2,3,2,2.5,2,3,2.2857142857142856,3,2,2,3,2,3,1,NA,10:01:23,601.3833333333333,10.023055555555555,PRB6,PRB2,PRB4,PRB7,PRB5,PRB3,PRB1,A3,1,0,1,2,0,2,2,1,0
43,2023-05-09T09:32:10Z,6,1,1,2,2.1285714285714286,3,3,3,3,3,1.3333333333333333,2,2,0,2.6666666666666665,3,2,3,1.5,0,3,2.142857142857143,3,3,NA,3,0,3,3,0,07:55:12,475.2,7.92,PRB1,PRB4,PRB6,PRB2,PRB3,PRB5,PRB7,A2,1,0,3,3,0,0,0,0,0
91,2023-05-09T11:11:29Z,7,0,1,2,2.158333333333333,2.25,3,2,2,2,1.3333333333333333,2,0,2,2.3333333333333335,2,3,2,2.5,3,2,2.375,3,2,2,3,2,2,3,2,11:44:28,704.4666666666667,11.741111111111111,PRB4,PRB6,PRB2,PRB7,PRB5,PRB1,PRB3,A3,3,1,NA,NA,1,0,NA,NA,0
52,2023-05-09T10:02:44Z,10,0,1,2,2.208333333333333,2.25,3,2,2,2,1,2,0,1,2.6666666666666665,3,3,2,3,3,3,2.125,1,2,1,3,3,3,3,1,08:38:11,518.1833333333333,8.636388888888888,PRB2,PRB1,PRB4,PRB6,PRB3,PRB7,PRB5,A6,0,1,3,2,0,0,0,1,1
92,2023-05-09T11:09:40Z,7,0,1,2,2.219047619047619,2.5,2,3,3,2,1.3333333333333333,2,1,1,2.3333333333333335,2,3,2,2.5,2,3,2.4285714285714284,1,3,2,3,3,3,2,NA,09:47:51,587.85,9.797500000000001,PRB4,PRB6,PRB2,PRB7,PRB3,PRB5,PRB1,A3,2,0,1,NA,0,1,2,NA,0
31,2023-05-09T09:24:39Z,10,1,1,2,2.308333333333333,2.75,3,3,3,2,2.6666666666666665,3,2,3,2,3,3,0,2,1,3,2.125,3,2,2,2,1,2,2,3,09:13:18,553.3,9.221666666666666,PRB6,PRB4,PRB3,PRB2,PRB5,PRB7,PRB1,A6,0,0,2,3,1,1,1,0,1
51,2023-05-09T09:59:01Z,10,0,1,2,2.4333333333333336,3,3,3,3,3,2,3,2,1,1.6666666666666667,2,2,1,3,3,3,2.5,2,2,3,3,1,3,3,3,06:40:38,400.6333333333333,6.677222222222222,PRB4,PRB2,PRB1,PRB5,PRB3,PRB6,PRB7,A6,0,0,0,3,0,0,3,0,1
