id,submitdate,in_post,Klasse_codiert,MBGs,KRS,Gruppe,TPB_Mean,AT_Mean,AT1,AT2_invert,AT3,AT4,SN_Mean,SN1,SN2,SN3,INT_Mean,INT1,INT2,INT3,PBC_Mean,PBC1,PBC2,B_Mean,B1,B2,B5,B6,B7,B8_invert,B9_invert,B10,fehlend,AT2,B3,B4,B8,B9,B3_invert,B4_invert,filter_$,ü25,datestamp,PrimaryFirst
9,2023-02-07T11:44:57Z,1,9,0,0,0,2.5583333333333336,2.75,2,3,3,3,2.3333333333333335,3,2,2,2.3333333333333335,3,2,2,3,3,3,2.375,2,3,0,3,2,3,3,3,0,0,0,2,0,0,3,1,0,0,2023-02-07T11:44:57Z,1
10,2023-02-07T11:39:55Z,1,9,0,0,0,1.573809523809524,2.25,2,3,3,1,1.6666666666666667,1,1,3,1.6666666666666667,1,2,2,1,1,NA,1.2857142857142858,0,0,2,3,3,NA,1,0,3,0,NA,2,NA,2,NA,1,0,0,2023-02-07T11:39:55Z,1
11,2023-02-07T11:51:28Z,1,7,0,0,0,0.75,1.25,1,2,2,0,0,0,0,NA,1,1,1,1,0.5,0,1,1,0,0,1,2,2,1,1,NA,2,1,0,2,2,2,3,1,0,0,2023-02-07T11:51:28Z,1
13,2023-02-07T11:50:05Z,1,9,0,0,0,1.2583333333333333,1.25,1,1,1,2,0.6666666666666666,1,1,0,1,1,1,1,2,1,3,1.375,0,2,2,2,1,2,2,0,0,2,1,1,1,1,2,2,0,0,2023-02-07T11:50:05Z,1
15,2023-02-07T11:51:19Z,1,9,0,0,0,1.6261904761904762,2.25,3,3,2,1,1,1,2,0,1.6666666666666667,1,3,1,1.5,1,2,1.7142857142857142,2,2,0,3,1,2,2,NA,1,0,2,2,1,1,1,1,0,0,2023-02-07T11:51:19Z,1
16,2023-02-07T11:51:12Z,1,9,0,0,0,1.4833333333333332,1.75,1,3,1,2,0.6666666666666666,1,1,0,2,2,2,2,2,2,2,1,2,0,1,2,0,3,0,0,0,0,1,0,0,3,2,3,0,0,2023-02-07T11:51:12Z,1
17,2023-02-07T11:54:28Z,1,9,0,0,0,1.4833333333333332,1.25,1,2,1,1,0.6666666666666666,1,1,0,2,2,2,2,2.5,2,3,1,3,0,0,1,0,2,1,NA,1,1,1,2,1,2,2,1,0,0,2023-02-07T11:54:28Z,1
18,2023-02-07T11:39:47Z,0,10,0,0,0,1.4714285714285713,2.3333333333333335,2,3,2,NA,1.3333333333333333,2,1,1,1.3333333333333333,1,2,1,1.5,1,2,0.8571428571428571,0,0,0,2,0,2,2,NA,2,0,1,2,1,1,2,1,0,0,2023-02-07T11:39:47Z,1
19,2023-02-07T11:46:43Z,1,9,0,0,0,1.8833333333333333,1.5,2,0,2,2,2,2,1,3,2.6666666666666665,3,3,2,1,1,1,2.25,2,2,1,2,3,3,3,2,0,3,2,3,0,0,1,0,0,0,2023-02-07T11:46:43Z,1
20,2023-02-07T11:51:58Z,0,7,0,0,0,1.0666666666666667,1.5,1,2,2,1,0.3333333333333333,0,0,1,1.5,1,NA,2,1,1,NA,1,NA,1,NA,1,1,0,2,NA,5,1,0,1,3,1,3,2,0,0,2023-02-07T11:51:58Z,1
21,2023-02-07T11:53:59Z,1,9,0,0,0,1.619047619047619,2,1,3,2,NA,1,1,0,2,1.6666666666666667,1,2,2,2,2,2,1.4285714285714286,1,1,1,2,2,2,1,NA,2,0,1,1,1,2,2,2,0,0,2023-02-07T11:53:59Z,1
22,2023-02-07T11:50:35Z,1,7,0,0,0,1.1476190476190475,1.5,2,2,2,0,0,0,0,0,1.6666666666666667,2,2,1,1,2,0,1.5714285714285714,0,2,2,3,2,0,2,NA,1,1,0,2,3,1,3,1,0,0,2023-02-07T11:50:35Z,1
23,2023-02-07T11:47:51Z,1,9,0,0,0,1.2083333333333333,0.6666666666666666,1,NA,1,0,2,2,2,2,1,0,2,1,1,1,1,1.375,0,2,2,2,1,2,2,0,2,NA,1,3,1,1,2,0,0,0,2023-02-07T11:47:51Z,1
24,2023-02-07T11:39:02Z,0,10,1,0,1,1.5857142857142859,2,2,3,2,1,1.3333333333333333,2,1,1,1.6666666666666667,2,2,1,1.5,1,2,1.4285714285714286,0,2,0,2,0,3,3,NA,1,0,2,2,0,0,1,1,0,0,2023-02-07T11:39:02Z,1
25,2023-02-07T11:50:01Z,1,10,0,1,2,1.9666666666666668,2,2,3,3,0,1.6666666666666667,2,1,2,1.6666666666666667,2,2,1,2.5,2,3,2,0,3,NA,2,1,3,3,NA,3,0,0,NA,0,0,3,NA,1,0,2023-02-07T11:50:01Z,1
26,2023-02-07T11:47:30Z,0,7,0,0,0,1.5,1.6666666666666667,1,3,NA,1,0.5,1,0,NA,1.5,2,NA,1,2.5,2,3,1.3333333333333333,0,1,NA,2,1,2,2,NA,5,0,1,1,1,1,2,2,0,0,2023-02-07T11:47:30Z,1
27,2023-02-07T11:46:16Z,1,10,0,0,0,1.5547619047619048,2.25,2,3,2,2,0.6666666666666666,1,1,0,1,0,2,1,2,2,2,1.8571428571428572,1,3,NA,3,0,2,3,1,1,0,2,2,1,0,1,1,0,0,2023-02-07T11:46:16Z,1
28,2023-02-07T11:46:31Z,1,7,0,0,0,2.5583333333333336,3,3,3,3,3,1.6666666666666667,2,0,3,3,3,3,3,3,3,3,2.125,3,3,0,3,0,3,2,3,0,0,1,2,0,1,2,1,0,0,2023-02-07T11:46:31Z,1
30,2023-02-07T11:54:48Z,0,10,0,0,0,1.5190476190476192,1.5,1,2,2,1,1,1,1,1,1.6666666666666667,1,2,2,2,2,2,1.4285714285714286,2,1,NA,2,1,2,1,1,1,1,2,3,1,2,1,0,0,0,2023-02-07T11:54:48Z,1
31,2023-02-07T11:49:11Z,0,10,0,0,0,1.9047619047619047,2.5,2,3,2,3,1.6666666666666667,2,1,2,2,2,2,2,1.5,1,2,1.8571428571428572,1,2,NA,3,2,3,2,0,1,0,3,1,0,1,0,2,0,0,2023-02-07T11:49:11Z,1
32,2023-02-07T11:50:30Z,1,7,0,0,0,2.1,2.5,2,2,3,3,0.6666666666666666,1,0,1,2.3333333333333335,2,3,2,3,3,3,2,3,2,2,3,1,1,2,NA,1,1,1,2,2,1,2,1,0,0,2023-02-07T11:50:30Z,1
33,2023-02-07T11:49:09Z,1,10,0,0,0,0.6976190476190476,1.25,0,1,3,1,0.6666666666666666,0,1,1,1,1,1,1,0,NA,0,0.5714285714285714,0,0,2,NA,1,0,1,0,2,2,1,2,3,2,2,1,0,0,2023-02-07T11:49:09Z,1
35,2023-02-07T11:55:16Z,1,9,0,0,0,2.0166666666666666,2.25,1,3,3,2,1.5,2,1,NA,2.3333333333333335,3,2,2,1.5,2,1,2.5,3,3,NA,3,2,2,2,NA,4,0,2,NA,1,1,1,NA,0,0,2023-02-07T11:55:16Z,1
36,2023-02-07T11:52:38Z,1,9,1,0,1,2.025,2.75,3,3,3,2,1.3333333333333333,1,1,2,2.6666666666666665,2,3,3,1.5,1,2,1.875,3,2,0,3,2,2,3,0,0,0,2,0,1,0,1,3,0,0,2023-02-07T11:52:38Z,1
39,2023-02-07T11:48:41Z,1,9,0,0,0,1.575,2,2,2,3,1,1.3333333333333333,2,2,0,1.6666666666666667,1,2,2,1,1,1,1.875,1,1,2,3,3,1,3,1,0,1,3,3,2,0,0,0,0,0,2023-02-07T11:48:41Z,1
42,2023-02-07T11:41:30Z,0,10,0,0,0,2.35,3,3,3,3,3,2,3,1,2,2,2,3,1,2.5,2,3,2.25,3,3,2,3,3,2,1,1,0,0,3,3,1,2,0,0,0,0,2023-02-07T11:41:30Z,1
43,2023-02-07T11:49:44Z,1,10,1,1,2,1.6666666666666667,2,2,3,2,1,1,1,0,2,1.6666666666666667,1,2,2,2,2,2,1.6666666666666667,0,NA,1,3,2,2,2,NA,3,0,NA,1,1,1,NA,2,1,0,2023-02-07T11:49:44Z,1
45,2023-02-07T11:46:51Z,0,10,1,1,2,1.5666666666666667,1.75,2,3,2,0,1.3333333333333333,0,2,2,2,2,2,NA,2,2,2,0.75,0,1,0,1,0,2,1,1,1,0,2,1,1,2,1,2,1,0,2023-02-07T11:46:51Z,1
46,2023-02-07T11:49:20Z,1,9,0,0,0,1.775,2,2,2,2,2,1.6666666666666667,2,1,2,1.3333333333333333,1,2,1,2,2,2,1.875,0,3,0,2,1,3,3,3,0,1,0,0,0,0,3,3,0,0,2023-02-07T11:49:20Z,1
49,2023-02-07T11:51:44Z,1,7,0,1,2,1.85,2.75,2,3,3,3,1,2,1,0,1.6666666666666667,1,3,1,2,2,2,1.8333333333333333,1,NA,NA,3,2,2,3,0,3,0,NA,0,1,0,NA,3,1,0,2023-02-07T11:51:44Z,1
50,2023-02-07T11:50:16Z,0,10,0,0,0,1.0333333333333334,1.5,0,3,2,1,1.6666666666666667,1,2,2,1,1,1,1,0.5,0,1,0.5,0,0,2,0,0,2,0,0,0,0,1,2,1,3,2,1,0,0,2023-02-07T11:50:16Z,1
51,2023-02-07T11:51:17Z,1,7,0,0,0,2.0476190476190474,3,NA,3,3,3,0.6666666666666666,1,1,0,2,NA,2,2,2,1,3,2.5714285714285716,3,3,2,3,1,3,3,NA,4,0,2,NA,0,0,1,NA,0,0,2023-02-07T11:51:17Z,1
52,2023-02-07T11:39:49Z,1,10,0,0,0,1.7833333333333337,1.75,2,2,2,1,1,1,1,1,1.6666666666666667,1,2,2,2.5,2,3,2,1,1,2,3,3,2,2,2,0,1,2,3,1,1,1,0,0,0,2023-02-07T11:39:49Z,1
54,2023-02-07T11:47:25Z,1,9,0,0,0,1.4916666666666667,2,1,3,2,2,0.6666666666666666,1,1,0,1.6666666666666667,1,2,2,1.5,1,2,1.625,0,2,1,2,2,3,3,0,0,0,0,2,0,0,3,1,0,0,2023-02-07T11:47:25Z,1
55,2023-02-07T11:41:26Z,1,9,0,0,0,1.9833333333333332,2,2,2,2,2,0.6666666666666666,1,0,1,2,2,3,1,3,3,3,2.25,3,2,2,3,1,3,3,1,0,1,2,1,0,0,1,2,0,0,2023-02-07T11:41:26Z,1
56,2023-02-07T11:49:35Z,1,9,0,0,0,1.9357142857142857,2.25,2,3,2,2,1.3333333333333333,2,1,1,1.6666666666666667,1,3,1,2,2,2,2.4285714285714284,3,2,1,3,3,3,2,NA,1,0,2,2,0,1,1,1,0,0,2023-02-07T11:49:35Z,1
58,2023-02-07T11:41:38Z,0,10,0,0,0,1.8666666666666667,3,3,3,3,NA,1.6666666666666667,2,1,2,1.5,1,2,NA,1.5,1,2,1.6666666666666667,2,1,NA,3,1,1,2,NA,4,0,2,3,2,1,1,0,0,0,2023-02-07T11:41:38Z,1
59,2023-02-07T11:47:35Z,0,10,0,0,0,1.7833333333333337,1.75,2,2,2,1,1,1,1,1,1.6666666666666667,2,2,1,2,2,2,2.5,3,2,NA,3,3,2,2,NA,2,1,1,3,1,1,2,0,0,0,2023-02-07T11:47:35Z,1
60,2023-02-07T11:50:42Z,1,10,0,0,0,1.8714285714285714,2.5,3,3,2,2,1.3333333333333333,1,2,1,1.6666666666666667,1,3,1,2,2,2,1.8571428571428572,2,1,0,3,3,2,2,NA,1,0,1,2,1,1,2,1,0,0,2023-02-07T11:50:42Z,1
63,2023-02-07T11:43:20Z,0,10,0,0,0,0.9333333333333332,1.5,2,1,3,0,1.3333333333333333,1,1,2,0.5,0,1,NA,0.5,1,0,0.8333333333333334,0,NA,NA,2,0,0,3,0,4,2,NA,0,3,0,NA,3,0,0,2023-02-07T11:43:20Z,1
64,2023-02-07T11:49:45Z,1,10,0,1,2,2.657142857142857,3,3,3,3,3,2.3333333333333335,2,2,3,2.6666666666666665,3,3,2,3,3,3,2.2857142857142856,2,3,2,3,2,NA,2,2,1,0,1,2,NA,1,2,1,1,0,2023-02-07T11:49:45Z,1
