AT01_01,AT01_03,AT01_04,B001_01,B001_02,B001_05,B001_06,B001_07,B001_10,CS01_01,CS01_02,CS01_03,IN01_01,IN01_02,IN01_03,PB01_01,PB01_02,SN01_01,SN01_02,SN01_03,SW01_01,SW01_02,SW01_04,SW01_06,SW01_07,SW01_08,AT01_02_inverse,B001_03_inverse,B001_04_inverse,B001_08_inverse,B001_09_inverse,SW01_03_inverse,SW01_05_inverse
3,3,2,1,2,2,2,1,2,2,2,2,2,2,1,3,3,2,1,2,2,2,2,2,2,2,3,-100,0,3,1,-100,1
-100,-100,-100,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,-100,2,1,1,1,2,2,1,2,1,2,1,1,1
2,3,1,0,0,0,1,2,-100,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,3,3,1,1,1,1
3,3,2,1,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,-100,2,2,2,-100,-100,2,3,2,1,3,2,2,2
1,1,2,0,3,2,2,2,1,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,2,0,3,3,2,2
2,-100,-100,1,2,-100,3,1,-100,2,2,1,0,1,1,0,2,1,1,0,1,1,1,1,1,1,2,1,1,0,2,1,2
3,3,2,1,2,0,3,3,-100,2,-100,-100,1,3,2,1,1,3,2,0,-100,1,1,0,1,2,2,2,1,3,3,3,2
3,3,3,3,-100,-100,3,0,3,2,3,2,2,3,3,2,3,2,1,0,3,1,1,3,3,3,3,0,2,0,3,2,1
2,2,-100,2,3,-100,2,1,-100,1,-100,2,1,2,-100,2,2,2,0,0,2,-100,1,2,1,-100,3,0,0,3,3,2,2
3,3,2,1,2,-100,3,0,0,2,1,1,0,2,0,2,3,1,2,0,2,0,1,0,0,2,2,2,0,3,2,2,2
2,2,1,-100,-100,0,2,2,-100,2,-100,2,-100,-100,1,2,2,1,1,2,2,2,2,-100,2,2,2,2,1,1,1,2,-100
3,3,1,0,1,0,1,0,0,2,2,2,1,1,0,2,2,0,0,0,3,2,3,2,2,2,2,3,1,3,1,1,2
2,2,0,0,0,1,2,1,1,0,0,0,0,1,0,2,2,0,0,3,0,0,0,0,1,0,3,3,1,2,2,0,0
3,3,3,1,3,0,2,2,1,2,2,2,0,2,1,3,3,1,1,2,3,2,2,1,1,2,3,1,1,2,3,3,2
3,3,2,0,0,-100,3,3,0,2,2,-100,1,2,1,-100,2,1,0,0,3,-100,-100,1,2,-100,3,1,0,3,3,-100,1
1,2,0,0,1,0,2,2,-100,2,1,2,1,0,0,2,2,0,0,1,3,2,2,0,2,2,2,2,0,2,1,2,2
2,1,1,3,2,-100,3,2,-100,2,2,2,1,2,1,2,3,1,1,-100,2,1,2,1,2,1,2,3,2,3,2,2,2
1,1,1,3,2,-100,2,3,-100,2,1,2,1,3,2,2,0,0,2,1,2,2,2,2,2,-100,2,0,0,0,2,2,2
2,2,2,3,1,-100,2,1,-100,0,0,0,-100,2,2,-100,0,1,0,0,0,0,1,0,0,0,3,2,1,2,3,2,0
2,3,0,0,1,1,2,0,0,2,2,2,1,1,1,3,2,0,1,1,2,1,1,1,2,1,2,3,1,1,2,2,2
1,3,3,3,2,2,3,3,3,3,2,3,2,3,2,3,3,2,1,-100,3,3,3,2,2,3,3,2,1,3,3,3,3
2,2,2,3,2,-100,2,2,-100,2,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,3,2,-100,1,1,2,2
2,3,3,3,2,-100,3,2,-100,3,2,2,2,3,2,2,2,2,1,1,2,2,2,1,2,2,3,2,1,2,3,3,1
2,3,2,0,1,0,2,1,1,2,2,2,1,2,1,2,2,1,1,2,3,2,2,1,2,2,3,2,0,1,2,2,2
3,2,1,0,0,0,0,0,2,1,2,1,0,1,0,0,0,2,0,1,0,0,0,1,2,2,3,3,3,0,2,0,0
2,2,1,0,0,0,3,0,1,2,2,2,1,3,1,1,2,1,0,0,3,0,0,1,1,1,3,1,3,3,3,1,2
2,2,1,1,2,-100,2,1,1,2,2,2,1,-100,-100,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2
3,3,2,3,3,-100,3,3,-100,2,2,1,2,3,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,3,3,2,2
2,2,3,3,2,1,3,3,-100,3,3,3,3,3,3,2,2,2,2,0,3,3,3,3,3,3,3,2,1,3,3,3,0
3,3,2,0,0,1,2,1,-100,2,1,0,0,1,0,2,2,1,1,0,2,0,1,0,2,1,3,2,2,2,3,2,2
3,3,0,0,1,0,3,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,3,0,0,1,3,1,1
2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,0,1,0,0
2,3,2,1,2,-100,3,3,-100,2,1,2,1,2,1,2,2,1,2,2,2,1,2,1,2,2,3,1,2,3,3,2,2
3,3,2,2,3,0,3,2,3,2,1,1,1,3,0,3,2,3,0,1,3,2,1,0,1,2,3,2,1,2,2,2,2
3,3,1,1,3,-100,3,0,3,2,1,1,2,2,0,1,2,0,0,1,2,2,1,0,1,2,2,2,-100,2,-100,2,1
-100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,2,3,1,0,0,-100,-100
3,2,2,3,2,-100,3,2,-100,2,1,2,1,2,3,2,2,2,1,0,2,2,2,0,2,2,2,2,0,3,3,2,2
2,3,0,0,2,3,3,2,-100,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,3,0,0
2,2,2,1,2,1,2,2,-100,3,2,2,1,2,1,1,1,1,1,-100,2,0,0,1,2,0,3,1,2,3,2,2,2
3,2,2,1,1,-100,1,0,-100,2,2,2,2,2,1,1,2,1,1,2,2,1,1,2,2,2,3,2,1,1,2,1,1
2,2,1,1,2,0,3,0,0,2,2,1,2,3,3,1,2,2,1,3,2,2,2,1,2,2,2,2,2,0,3,0,1
2,2,2,1,2,0,2,1,0,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,-100,2,2,-100,2,2,2,-100,-100
1,1,1,0,1,2,2,0,1,2,-100,-100,1,1,0,1,0,0,2,2,2,1,0,1,0,2,2,3,1,1,3,1,1
2,3,2,3,3,2,3,2,3,3,2,3,3,3,2,3,3,3,1,2,3,3,2,2,2,3,3,1,2,2,2,3,3
2,3,-100,3,2,-100,3,1,2,2,2,2,-100,2,-100,3,3,1,1,2,3,2,1,2,2,2,3,3,-100,1,2,3,3
2,3,2,3,2,1,2,2,-100,3,3,2,-100,2,2,2,2,2,2,-100,3,2,-100,2,2,2,3,-100,2,1,1,3,-100
2,3,2,3,2,2,3,2,-100,3,2,2,2,3,2,2,3,2,1,2,2,-100,3,3,3,2,3,1,2,3,3,3,2
