"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AT01_01"	"AT01_02"	"AT01_03"	"AT01_04"	"B001_01"	"B001_02"	"B001_03"	"B001_04"	"B001_05"	"B001_06"	"B001_07"	"B001_08"	"B001_09"	"B001_10"	"CS01_01"	"CS01_02"	"CS01_03"	"IN01_01"	"IN01_02"	"IN01_03"	"PB01_01"	"PB01_02"	"SN01_01"	"SN01_02"	"SN01_03"	"SW01_01"	"SW01_02"	"SW01_03"	"SW01_04"	"SW01_05"	"SW01_06"	"SW01_07"	"SW01_08"	"WD01"	"WD02"	"WD02_01"	"WD02_02"	"WD02_03"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
20			"base"	"interview"	2024-05-13 08:53:34	4	1	4	3	2	3	-1	4	3	3	2	1	3	3	3	3	3	3	3	2	4	4	3	2	3	3	3	-1	3	3	3	3	3	5	1	F	F	T	42	40	43	14	20	34	137	128	33	491		2024-05-13 09:01:45	T	F	9	9	0	0	0.72
22			"base"	"interview"	2024-05-13 08:53:41	3	1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	5	1	F	F	T	24	28	114	52	5	2	7	5	3	208		2024-05-13 08:57:41	T	F	9	9	0	0	1.86
23			"base"	"interview"	2024-05-13 08:53:59	-1	3	-1	-1	2	3	2	3	3	2	2	2	3	3	3	2	3	2	3	2	3	2	3	2	-1	3	2	3	2	3	2	3	3	5	1	F	F	T	54	46	63	41	5	7	8	12	1	196		2024-05-13 08:57:56	T	F	9	9	0	0	1.86
24			"base"	"interview"	2024-05-13 08:54:54	3	2	4	2	1	1	1	1	1	2	3	3	3	-1	1	1	1	1	2	2	2	1	2	1	1	1	1	3	1	3	1	1	1	5	1	F	F	T	4	14	49	20	11	60	97	61	28	306		2024-05-13 09:00:38	T	F	9	9	0	0	1.17
25			"base"	"interview"	2024-05-13 08:54:59	4	1	4	3	2	3	2	3	2	4	2	1	2	3	3	3	3	3	3	3	3	3	3	3	-1	3	3	2	3	2	-1	-1	3	5	1	F	F	T	119	52	163	53	12	18	84	72	29	322		2024-05-13 09:05:01	T	F	9	9	0	0	0.67
26			"base"	"interview"	2024-05-13 08:55:19	3	2	3	3	1	-1	2	1	-1	2	1	3	2	1	1	3	3	2	2	2	2	2	2	2	2	1	2	2	3	3	3	3	3	5	1	F	T	F	16	11	52	15	11	29	141	110	17	402		2024-05-13 09:02:01	T	F	9	9	0	0	0.99
27			"base"	"interview"	2024-05-13 08:55:37	2	3	2	3	1	4	2	4	3	3	3	1	1	2	3	3	3	2	3	2	3	2	2	2	3	3	2	2	2	2	2	3	2	5	1	F	F	T	24	17	42	26	78	19	157	102	58	336		2024-05-13 09:04:20	T	F	9	9	0	0	0.71
28			"base"	"interview"	2024-05-13 08:58:15	3	2	-1	-1	2	3	3	3	-1	4	2	4	2	-1	3	3	2	1	2	2	1	3	2	2	1	2	2	3	2	2	2	2	2	5	1	F	F	T	8	48	54	43	24	27	54	79	23	360		2024-05-13 09:04:15	T	F	9	9	0	0	0.88
29			"base"	"interview"	2024-05-13 18:14:25	4	2	4	3	2	3	2	3	1	4	4	1	1	-1	3	-1	-1	2	4	3	2	2	4	3	1	-1	2	1	2	2	1	2	3	5	1	F	F	T	9	5	34	18	13	15	46	59	22	221		2024-05-13 18:18:06	T	F	9	9	0	0	1.49
30			"base"	"interview"	2024-05-14 08:00:55	4	1	4	4	4	-1	4	2	-1	4	1	4	1	4	3	4	3	3	4	4	3	4	3	2	1	4	2	2	2	3	4	4	4	5	2	T	T	F	3	19	27	43	16	15	77	77	25	302		2024-05-14 08:05:57	T	F	9	9	0	0	1.26
31			"base"	"interview"	2024-05-14 09:54:51	3	1	3	-1	3	4	4	4	-1	3	2	1	1	-1	2	-1	3	2	3	-1	3	3	3	1	1	3	-1	2	2	2	3	2	-1	5	1	F	F	T	31	11	78	14	11	27	60	98	14	344		2024-05-14 10:00:35	T	F	9	9	0	0	1.03
32			"base"	"interview"	2024-05-14 09:54:53	4	2	4	3	2	3	2	4	-1	4	1	1	2	1	3	2	2	1	3	1	3	4	2	3	1	3	1	2	2	2	1	1	3	5	1	F	F	T	6	10	29	17	14	20	66	55	24	241		2024-05-14 09:58:54	T	F	9	9	0	0	1.35
33			"base"	"interview"	2024-05-14 09:54:53	3	2	3	2	-1	-1	2	3	1	3	3	3	3	-1	3	-1	3	-1	-1	2	3	3	2	2	3	3	3	2	3	-1	-1	3	3	5	1	F	F	T	10	9	41	17	14	28	47	48	14	228		2024-05-14 09:58:41	T	F	9	9	0	0	1.3
34			"base"	"interview"	2024-05-14 09:54:55	4	2	4	2	1	2	1	3	1	2	1	1	3	1	3	3	3	2	2	1	3	3	1	1	1	4	3	3	4	2	3	3	3	5	1	F	F	T	49	16	68	33	18	27	91	59	15	376		2024-05-14 10:01:11	T	F	9	9	0	0	0.83
35			"base"	"interview"	2024-05-14 09:54:55	3	1	3	1	1	1	1	3	2	3	2	2	2	2	1	1	1	1	2	1	3	3	1	1	4	1	1	4	1	4	1	2	1	5	1	F	F	T	33	24	77	20	11	20	66	93	22	366		2024-05-14 10:01:01	T	F	9	9	0	0	0.87
36			"base"	"interview"	2024-05-14 09:54:55	4	1	4	4	2	4	3	3	1	3	3	2	1	2	3	3	3	1	3	2	4	4	2	2	3	4	3	1	3	2	2	2	3	5	1	F	F	T	10	9	26	16	9	19	63	51	14	217		2024-05-14 09:58:32	T	F	9	9	0	0	1.45
37			"base"	"interview"	2024-05-14 09:54:56	4	1	4	3	1	1	3	4	-1	4	4	1	1	1	3	3	-1	2	3	2	-1	3	2	1	1	4	-1	-1	-1	3	2	3	-1	5	1	F	F	T	10	27	65	20	19	29	107	113	27	417		2024-05-14 10:01:53	T	F	9	9	0	0	0.8
38			"base"	"interview"	2024-05-14 09:54:56	4	1	4	3	1	3	2	3	2	3	2	2	1	3	4	3	3	2	3	2	3	4	2	2	2	4	2	1	2	1	3	3	4	5	1	F	T	F	7	16	67	20	18	27	86	118	16	375		2024-05-14 10:01:11	T	F	9	9	0	0	0.98
40			"base"	"interview"	2024-05-14 09:54:56	2	2	3	1	1	2	2	4	1	3	3	2	3	-1	3	2	3	2	1	1	3	3	1	1	2	4	3	2	3	2	1	3	3	5	1	F	F	T	3	16	54	20	20	43	69	109	30	364		2024-05-14 10:01:01	T	F	9	9	0	0	1.06
41			"base"	"interview"	2024-05-14 09:54:57	3	2	2	2	4	3	1	2	-1	4	3	1	2	-1	3	3	3	2	3	2	3	4	2	2	-1	3	2	2	3	2	2	3	2	5	1	F	F	T	31	27	74	21	13	32	75	64	27	364		2024-05-14 10:01:02	T	F	9	9	0	0	0.81
42			"base"	"interview"	2024-05-14 09:54:57	2	2	2	2	4	3	4	4	-1	3	4	4	2	-1	3	2	3	2	4	3	3	1	1	3	2	3	3	2	3	2	3	3	-1	5	1	F	F	T	32	13	66	13	11	20	65	46	10	276		2024-05-14 09:59:33	T	F	9	9	0	0	1.21
43			"base"	"interview"	2024-05-14 09:54:58	2	2	3	2	1	3	2	2	1	3	2	4	1	-1	-1	-1	-1	1	2	1	2	2	2	2	2	3	2	3	2	3	2	2	1	5	1	F	F	T	6	46	45	27	11	16	77	155	8	391		2024-05-14 10:01:29	T	F	9	9	0	0	1.2
